,Player name,Team,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
212,Melvin Frazier,ORL,19,126,23,15,34,40,5,3,2,8,10,9,2,4,2
213,Michael Frazier,HOU,13,145,25,7,29,27,5,2,1,9,10,2,9,14,0
214,Tim Frazier,DET,27,355,29,34,94,97,36,93,9,24,33,14,19,24,4
215,Enes Freedom,BOS,58,983,27,199,348,469,56,56,163,268,431,22,70,99,41
216,Markelle Fultz,ORL,72,1996,21,359,772,870,147,369,41,197,238,90,116,159,11
217,Wenyen Gabriel,TOT,30,235,22,21,48,63,16,8,21,31,52,11,15,22,7
218,Wenyen Gabriel,SAC,11,61,22,6,17,19,5,3,4,6,10,3,6,10,2
219,Wenyen Gabriel,POR,19,174,22,15,31,44,11,5,17,25,42,8,9,12,5
220,Daniel Gafford,CHI,43,609,21,94,134,220,29,21,52,54,106,13,32,60,56
221,Danilo Gallinari,OKC,62,1834,31,358,817,1160,76,119,34,288,322,42,266,298,5
222,Langston Galloway,DET,66,1702,28,236,542,677,40,101,33,116,149,48,73,85,11
