,Player,Salary
666,Ade Murkey,"53,176"
667,Goran Dragić,"19,440,000"
668,Dejounte Murray,"15,428,571"
669,Doug McDermott,"13,750,000"
670,Josh Richardson,"11,615,328"
671,Al-Farouq Aminu,"10,183,800"
672,Tomáš Satoranský,"10,000,000"
673,Jakob Poeltl,"8,750,000"
674,Zach Collins,"6,984,127"
675,Lonnie Walker IV,"4,447,896"
676,Devin Vassell,"4,235,160"
677,Chandler Hutchison,"4,019,459"
678,Joshua Primo,"3,946,800"
679,Romeo Langford,"3,804,360"
680,Luka Šamanić,"2,959,080"
681,Keldon Johnson,"2,145,720"
682,Keita Bates-Diop,"1,729,217"
683,Tre Jones,"1,517,981"
684,DeMarre Carroll,"1,252,127"
685,Jock Landale,"925,258"
686,Devontae Cacok,"364,533"
687,Joe Wieskamp,"202,068"
688,Tyler Johnson,"128,709"
689,Jaylen Morris,"95,930"
690,Anthony Lamb,"85,578"
691,Pascal Siakam,"31,320,000"
692,Fred VanVleet,"19,675,926"
693,OG Anunoby,"16,071,429"
694,Gary Trent Jr.,"16,000,000"
695,Thaddeus Young,"14,190,000"
696,Scottie Barnes,"7,280,520"
697,Chris Boucher,"7,009,615"
698,Khem Birch,"6,350,000"
699,Precious Achiuwa,"2,711,280"
700,Malachi Flynn,"2,048,040"
701,Drew Eubanks,"1,762,796"
702,Yuta Watanabe,"1,762,769"
703,Isaac Bonga,"1,729,217"
704,Svi Mykhailiuk,"1,729,217"
705,Dalano Banton,"925,258"
706,Sam Dekker,"350,000"
707,Ish Wainright,"250,000"
708,Armoni Brooks,"136,926"
709,D.J. Wilson,"102,831"
710,D.J. Wilson,"102,831"
711,D.J. Wilson,"102,831"
712,Juwan Morgan,"95,930"
713,Tremont Waters,"95,930"
714,Daniel Oturu,"85,578"
715,Armoni Brooks,"85,578"
716,Armoni Brooks,"85,578"
717,Rudy Gobert,"35,344,828"
718,Donovan Mitchell,"28,103,550"
719,Mike Conley,"21,000,000"
720,Bojan Bogdanović,"18,700,000"
721,Jordan Clarkson,"12,420,000"
722,Royce O'Neale,"8,678,571"
723,Juancho Hernangómez,"6,175,440"
724,Rudy Gay,"5,890,000"
725,Nickeil Alexander-Walker,"3,261,480"
726,Hassan Whiteside,"2,401,537"
727,Udoka Azubuike,"2,075,880"
728,Eric Paschall,"1,782,621"
729,Jared Butler,"925,258"
730,Danuel House Jr.,"657,596"
731,Greg Monroe,"138,019"
732,Danuel House Jr.,"111,457"
733,Denzel Valentine,"111,457"
734,Danuel House Jr.,"111,457"
735,Danuel House Jr.,"111,457"
736,Norvel Pelle,"95,930"
737,Zylan Cheatham,"89,057"
738,Jarrell Brantley,"84,414"
739,Trent Forrest,"8,558"
740,Bradley Beal,"34,502,130"
741,Kristaps Porziņģis,"31,650,600"
742,Kentavious Caldwell-Pope,"13,038,862"
743,Kyle Kuzma,"13,000,000"
744,Thomas Bryant,"8,730,159"
745,Rui Hachimura,"4,916,160"
746,Deni Avdija,"4,692,840"
747,Ish Smith,"4,500,000"
748,Corey Kispert,"3,383,640"
749,Raul Neto,"2,089,448"
750,Daniel Gafford,"1,782,621"
751,Vernon Carey Jr.,"1,517,981"
752,Anthony Gill,"1,517,981"
753,Isaiah Todd,"1,500,000"
754,Tomáš Satoranský,"468,119"
755,Greg Monroe,"138,019"
756,Alize Johnson,"99,380"
757,Brad Wanamaker,"99,380"
758,Tremont Waters,"95,930"
759,Jordan Schakel,"53,176"
760,Jordan Goodwin,"53,176"
761,Jaime Echenique,"53,176"
